=== MEMORY-EFFICIENT TRAINING FOR PROBLEM TRIO ===

Loading all data...
  Loading 15857 files............... done!
  Loading 2398 files.. done!
  Loading 3515 files... done!

Original training size: 15857

Applying 2x augmentation to problem trio (memory-efficient)...
Pre-allocating 23739 total samples...
  aeAegypti: 2600 -> 5200 (2x)
  anArabiensis: 2639 -> 5278 (2x)
  cuPipiens: 2643 -> 5286 (2x)

New training size: 23739
Memory usage: 14.29 GB

Loading ResNet-18...
Network ready

Training configuration:
  Epochs: 60
  Batch: 32
  Initial LR: 0.0005
  Strategy: 2x augmentation for problem trio

Starting training...

Training on single CPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       6 |        3750 |       04:18:18 |       96.88% |              |       0.0443 |              |          0.0005 |
|       6 |        3800 |       04:21:42 |       93.75% |              |       0.1947 |              |          0.0005 |
|       6 |        3850 |       04:25:04 |       90.62% |              |       0.1545 |              |          0.0005 |
|       6 |        3900 |       04:28:27 |      100.00% |              |       0.0413 |              |          0.0005 |
|       6 |        3950 |       04:31:49 |       96.88% |              |       0.0706 |              |          0.0005 |
|       6 |        4000 |       04:35:11 |       96.88% |              |       0.0294 |              |          0.0005 |
|       6 |        4050 |       04:38:33 |       87.50% |              |       0.3487 |              |          0.0005 |
|       6 |        4100 |       04:41:51 |       93.75% |              |       0.1297 |              |          0.0005 |
|       6 |        4150 |       04:45:00 |       96.88% |              |       0.0661 |              |          0.0005 |
|       6 |        4200 |       04:47:55 |      100.00% |              |       0.0484 |              |          0.0005 |
|       6 |        4250 |       04:51:14 |      100.00% |              |       0.0296 |              |          0.0005 |
|       6 |        4300 |       04:54:36 |      100.00% |              |       0.0273 |              |          0.0005 |
|       6 |        4350 |       04:57:59 |      100.00% |              |       0.0109 |              |          0.0005 |
|       6 |        4400 |       05:01:23 |      100.00% |              |       0.0144 |              |          0.0005 |
|       6 |        4446 |       05:05:56 |      100.00% |       87.16% |       0.0238 |       0.3784 |          0.0005 |
|       7 |        4450 |       05:06:14 |      100.00% |              |       0.0259 |              |          0.0005 |
|       7 |        4500 |       05:09:27 |       96.88% |              |       0.1215 |              |          0.0005 |
|       7 |        4550 |       05:12:37 |      100.00% |              |       0.0432 |              |          0.0005 |
|       7 |        4600 |       05:15:52 |      100.00% |              |       0.0193 |              |          0.0005 |
|       7 |        4650 |       05:19:03 |      100.00% |              |       0.0067 |              |          0.0005 |
|       7 |        4700 |       05:22:09 |       93.75% |              |       0.1383 |              |          0.0005 |
|       7 |        4750 |       05:25:25 |      100.00% |              |       0.0138 |              |          0.0005 |
|       7 |        4800 |       05:28:43 |       96.88% |              |       0.0819 |              |          0.0005 |
|       7 |        4850 |       05:32:02 |       96.88% |              |       0.0556 |              |          0.0005 |
|       7 |        4900 |       05:35:21 |       90.62% |              |       0.1902 |              |          0.0005 |
|       7 |        4950 |       05:38:40 |       96.88% |              |       0.0653 |              |          0.0005 |
|       7 |        5000 |       05:42:00 |       90.62% |              |       0.2509 |              |          0.0005 |
|       7 |        5050 |       05:45:22 |      100.00% |              |       0.0538 |              |          0.0005 |
|       7 |        5100 |       05:48:43 |       96.88% |              |       0.0363 |              |          0.0005 |
|       7 |        5150 |       05:52:05 |      100.00% |              |       0.0114 |              |          0.0005 |
|       7 |        5187 |       05:56:09 |      100.00% |       87.45% |       0.0158 |       0.4101 |          0.0005 |
|       8 |        5200 |       05:57:01 |       96.88% |              |       0.0671 |              |          0.0005 |
|       8 |        5250 |       06:00:23 |      100.00% |              |       0.0078 |              |          0.0005 |
|       8 |        5300 |       06:03:48 |       96.88% |              |       0.0542 |              |          0.0005 |
|       8 |        5350 |       06:07:12 |       96.88% |              |       0.0567 |              |          0.0005 |
|       8 |        5400 |       06:10:37 |      100.00% |              |       0.0090 |              |          0.0005 |
|       8 |        5450 |       06:14:02 |      100.00% |              |       0.0281 |              |          0.0005 |
|       8 |        5500 |       06:17:27 |      100.00% |              |       0.0035 |              |          0.0005 |
|       8 |        5550 |       06:20:53 |       96.88% |              |       0.0899 |              |          0.0005 |
|       8 |        5600 |       06:24:19 |      100.00% |              |       0.0091 |              |          0.0005 |
|       8 |        5650 |       06:27:40 |      100.00% |              |       0.0153 |              |          0.0005 |
|       8 |        5700 |       06:31:01 |      100.00% |              |       0.0126 |              |          0.0005 |
|       8 |        5750 |       06:34:22 |       93.75% |              |       0.1516 |              |          0.0005 |
|       8 |        5800 |       06:37:42 |      100.00% |              |       0.0421 |              |          0.0005 |
|       8 |        5850 |       06:41:03 |       96.88% |              |       0.0721 |              |          0.0005 |
|       8 |        5900 |       06:44:24 |      100.00% |              |       0.0275 |              |          0.0005 |
|       8 |        5928 |       06:47:51 |       96.88% |       90.66% |       0.0786 |       0.3034 |          0.0005 |
|       9 |        5950 |       06:49:21 |       96.88% |              |       0.0598 |              |          0.0005 |
|       9 |        6000 |       06:52:40 |      100.00% |              |       0.0146 |              |          0.0005 |
|       9 |        6050 |       06:56:00 |       84.38% |              |       0.2508 |              |          0.0005 |
|       9 |        6100 |       06:59:06 |       96.88% |              |       0.0509 |              |          0.0005 |
|       9 |        6150 |       07:02:02 |      100.00% |              |       0.0264 |              |          0.0005 |
|       9 |        6200 |       07:05:12 |      100.00% |              |       0.0081 |              |          0.0005 |
|       9 |        6250 |       07:08:07 |       96.88% |              |       0.0528 |              |          0.0005 |
|       9 |        6300 |       07:11:02 |      100.00% |              |       0.0126 |              |          0.0005 |
|       9 |        6350 |       07:13:59 |      100.00% |              |       0.0025 |              |          0.0005 |
|       9 |        6400 |       07:17:05 |       93.75% |              |       0.2780 |              |          0.0005 |
|       9 |        6450 |       07:20:12 |      100.00% |              |       0.0091 |              |          0.0005 |
|       9 |        6500 |       07:23:18 |       96.88% |              |       0.1398 |              |          0.0005 |
|       9 |        6550 |       07:26:23 |       96.88% |              |       0.0332 |              |          0.0005 |
|       9 |        6600 |       07:29:29 |      100.00% |              |       0.0148 |              |          0.0005 |
|       9 |        6650 |       07:32:35 |      100.00% |              |       0.0114 |              |          0.0005 |
|       9 |        6669 |       07:35:13 |      100.00% |       89.95% |       0.0215 |       0.3499 |          0.0005 |
|      10 |        6700 |       07:37:11 |       96.88% |              |       0.0742 |              |          0.0005 |
|      10 |        6750 |       07:40:17 |      100.00% |              |       0.0038 |              |          0.0005 |
|      10 |        6800 |       07:43:23 |      100.00% |              |       0.0117 |              |          0.0005 |
|      10 |        6850 |       07:46:29 |      100.00% |              |       0.0093 |              |          0.0005 |
|      10 |        6900 |       07:49:35 |      100.00% |              |       0.0240 |              |          0.0005 |
|      10 |        6950 |       07:52:42 |       96.88% |              |       0.1083 |              |          0.0005 |
|      10 |        7000 |       07:55:48 |      100.00% |              |       0.0192 |              |          0.0005 |
|      10 |        7050 |       07:58:54 |       96.88% |              |       0.0838 |              |          0.0005 |
|      10 |        7100 |       08:01:59 |       96.88% |              |       0.0587 |              |          0.0005 |
|      10 |        7150 |       08:05:06 |       96.88% |              |       0.0812 |              |          0.0005 |
|      10 |        7200 |       08:08:12 |      100.00% |              |       0.0125 |              |          0.0005 |
|      10 |        7250 |       08:11:18 |      100.00% |              |       0.0112 |              |          0.0005 |
|      10 |        7300 |       08:14:24 |       93.75% |              |       0.1026 |              |          0.0005 |
|      10 |        7350 |       08:17:30 |      100.00% |              |       0.0343 |              |          0.0005 |
|      10 |        7400 |       08:20:37 |      100.00% |              |       0.0045 |              |          0.0005 |
|      10 |        7410 |       08:22:41 |       93.75% |       89.28% |       0.2378 |       0.3758 |          0.0005 |
|      11 |        7450 |       08:25:12 |      100.00% |              |       0.0047 |              |          0.0005 |
|      11 |        7500 |       08:28:19 |       96.88% |              |       0.0729 |              |          0.0005 |
|      11 |        7550 |       08:31:24 |      100.00% |              |       0.0008 |              |          0.0005 |
|      11 |        7600 |       08:34:31 |      100.00% |              |       0.0084 |              |          0.0005 |
|      11 |        7650 |       08:37:37 |      100.00% |              |       0.0018 |              |          0.0005 |
|      11 |        7700 |       08:40:43 |      100.00% |              |       0.0228 |              |          0.0005 |
|      11 |        7750 |       08:43:49 |      100.00% |              |       0.0280 |              |          0.0005 |
